"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.175384521E0,-5.493164062E-4,9.460449219E-4,-6.866455078E-4,1.291600388E-3
1.180389404E0,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
1.185394287E0,1.586914062E-3,9.460449219E-4,-6.866455078E-4,1.970984345E-3
1.190399170E0,5.187988281E-4,-1.190185547E-3,3.814697266E-4,1.353223194E-3
1.195404053E0,-5.493164062E-4,-1.190185547E-3,3.814697266E-4,1.365214013E-3
1.200408935E0,5.187988281E-4,-1.190185547E-3,-6.866455078E-4,1.468732758E-3
1.205383301E0,-5.493164062E-4,-1.190185547E-3,-6.866455078E-4,1.479787891E-3
1.210388183E0,-1.617431641E-3,9.460449219E-4,-6.866455078E-4,1.995637282E-3
1.215393066E0,1.586914062E-3,3.082275391E-3,-6.866455078E-4,3.534147688E-3
1.220397949E0,1.586914062E-3,9.460449219E-4,-6.866455078E-4,1.970984345E-3
1.225402832E0,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
1.230407715E0,-5.493164062E-4,-2.243041992E-3,3.814697266E-4,2.340620654E-3
1.235412597E0,-1.617431641E-3,-1.220703125E-4,-6.866455078E-4,1.761382504E-3
1.240417480E0,5.187988281E-4,-1.190185547E-3,-1.754760742E-3,2.182860308E-3
1.245391846E0,-5.493164062E-4,9.460449219E-4,-6.866455078E-4,1.291600388E-3
1.250396728E0,5.187988281E-4,2.014160156E-3,-6.866455078E-4,2.190313999E-3
1.255401611E0,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
1.260406494E0,1.586914062E-3,-4.379272461E-3,1.449584961E-3,4.878280444E-3
1.265411377E0,-5.493164062E-4,-1.190185547E-3,1.449584961E-3,1.954376297E-3
1.270416260E0,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
1.275421142E0,1.586914062E-3,2.014160156E-3,-1.754760742E-3,3.107140589E-3
1.280426025E0,-5.493164062E-4,9.460449219E-4,3.814697266E-4,1.158563188E-3
1.285430908E0,-5.493164062E-4,-2.243041992E-3,3.814697266E-4,2.340620654E-3
1.290435791E0,-2.685546875E-3,-1.220703125E-4,1.449584961E-3,3.054236359E-3
